nameReviewer,content,tags
Trevor,"I found a lot of this book incredibly tedious. I tend to avoid the winners of the Man / Booker – they make me a little depressed. The only Carey I haven’t liked won the Booker (Oscar and Lucinda), I really didn’t like the little bit of Vernon God Little I read and I never finished The Sea despite really liking Banville’s writing. So, being told a book is a winner of the Booker tends to be a mark against it from the start, unfortunately.I’m going to have to assume you have read this book, as if I don’t I won’t be able to say anything about it at all. Apparently, when Yann Martel wrote this he was feeling a bit down and this was his way of plucking himself up. Well, good on him. That’s just great. I was a little annoyed when I found out that the person the book is dedicated to had also written a story about a man in a boat with a wild cat and had considered suing for plagiarism. The book is written by a member of that class of people who are my least favourite; a religious person who cannot conceive of someone not being religious. There is some fluff at the start in which atheism is ‘discussed’ (read, discarded) as something people inevitably give up on with their dying breath. But the religious are generally terribly arrogant, so it is best not to feel insulted by their endless insults – they know not what they do.Parts of this were so badly over written that it was almost enough to make me stop reading. The bit where he is opening his first can of water is a case in point. This takes so long and is so incidental to the story and written in such a cutesy way that I started to pray the boat would sink, the tiger would get him … I would even have accepted God smiting him at this point as a valid plotting point, even if (or particularly because) it would bring the story to an abrupt end.This is a book told as two possible stories of how a young man survives for 227 days floating across the Pacific Ocean told in 100 chapters. That was the other thing that I found annoying – much is made of the fact this story is told in 100 chapters – but I could not feel any necessity for many of the chapters. Just as I could not feel any necessity for the Italic voice that sounded like Tom Waits doing, “What is he building in there?” Well, except to introduce us again to Pi some number of years later. You know, in Invisible Cities  Calvino has necessary chapters – this book just has 100 chapters. It was something that annoyed me from early on in the book – that the chapters seemed far too arbitrary and pointing it out at the end just made me more irritated. There may well be some Hindu reason for 100 chapters – but like Jesus ticking off the ancient prophecies on his way to martyrdom, I still couldn’t see why these chapters were needed in themselves.Pi is the central character in the book who, for some odd reason, is named after a swimming pool – I started playing with the ideas of swimming pools and oceans in my head to see where that might lead, but got bored. He is an active, practicing member of three of the world’s major religions. There is a joke in the early part of the book about him possibly becoming Jewish (ha ha – or perhaps I should draw a smiley face?). The only religion missing entirely from the book is Buddhism. Well, when I say entirely, it is interesting that it is a Japanese ship that sinks and that the people Pi tells his story to are Japanese engineers. I’ve known Hindus who consider Buddhists to be little more than dirty, filthy atheists – so perhaps that is one reason why these Japanese engineers are treated with such contempt at the end of the book.The Japanese make the connections between the two stories – but we can assume that they stuff up these connections. While it is clear the French Cook is the hyena, Pi’s mum is the orang-utang, and the Asian gentleman is the zebra, I’m not convinced Pi is meant to be the tiger. In fact, the one constant (that’s a pun, by the way, you are supposed to be laughing) in both stories in Pi. My interpretation is that the tiger is actually God. Angry, jealous, vicious, hard to appease, arbitrary and something that takes up lots of time when you have better things to do – sounds like God to me.The last little bit of the book has Pi asking which is the better story- the one with animals or the one he tells with people. I mean, this is an unfair competition – he has spent chapter after chapter telling the animal story and only the last couple telling the people story. The point of this, though, is Pascal’s wager said anew. If we can never really know if there is no god and it ultimately makes no difference if we tell the story with him or without him in it, but if the story is more beautiful with him in it – then why not just accept him in the story and be damned.Well, because the story isn’t improved with the animals and life isn’t just a story and kid’s stories are great sometimes, but I often like adult stories at least as much – and sometimes even more. This is yet another person all alone survival story, but one I don’t feel that was handled as well as it could have been – mostly because the writer had an ideological message that he felt was more important than the story – never a good sign. Worse still, in the end I really couldn’t care less about Pi – I knew he was going to survive and knew it would be ‘because of’ his faith. He does talk about Jesus’ most petulant moment with the fig tree – so I was quite impressed that rated a mention – but, all the same, I haven’t been converted to any or all of the world religions discussed in this book.Compare this tale with the bit out of A History of the World in Ten and a Half Chapters about the painting – I know, it is not a fair comparison, Barnes is a god, but I’ve made it anyway.I didn’t really enjoy this book, I felt it tried too hard and didn’t quite make it. But Christians will love it – oh yeah – Christians will definitely love it.","literature,religion"
Eva,"It is not so much that The Life of Pi, is particularly moving (although it is). It isn’t even so much that it is written with language that is both delicate and sturdy all at once (which it is, as well). And it’s certainly not that Yann Martel’s vision filled passages are so precise that you begin to feel the salt water on your skin (even though they are). It is that, like Bohjalian and Byatt and all of the great Houdini’s of the literary world, in the last few moments of your journey – after you’ve felt the emotions, endured the moments of heartache, yearned for the resolution of the characters’ struggle – that you realize the book is not what you thought it was. The story transforms, instantly, and forever.And in those last few chapters, you suddenly realize that the moral has changed as well.You feel Martel’s words lingering, suggesting, and you find yourself wondering whether you are his atheist who takes the deathbed leap of faith – hoping for white light and love? Or the agnostic who , in trying to stay true to his reasonable self, explains the mysteries of life and death in only scientific terms, lacking imagination to the end, and, essentially, missing the better story?There is no use in trying to provide a brief synopsis for this ravishing tale of a young boy from India left adrift in the Pacific in a lifeboat with a tiger who used to reside in his father’s zoo in Pondicherry. There is no use because once you finish the book you might decide that this was not, indeed, what the book was about at all. There is no use because, depending on your philosophical bent, the book will mean something very different to your best friend than it will to you. There is no use because it is nearly impossible to describe what makes this book so grand.Read this book. Not because it is an exceptional piece of literary talent. It is, of course. But there are many good authors and many good books. While uncommon, they are not endangered. Read this book because in recent memory - aside from Jose Saramago’s arresting Blindness – there have been no stories which make such grand statements with such few elements. As Pi says in his story “Life on a lifeboat isn’t much of a life. It is like an end game in chess, a game with few pieces. The elements couldn’t be more simple, nor the stakes higher.” It is the same with Martel’s undulating fable of a book about a boy in a boat with a tiger. A simple story with potentially life altering consequences for it’s readers. As Martel writes, ""The world isn't just the way it is. It is how we understand it, no? And in understanding something, we bring something to it, no?"" Like Schroedinger's cat in the box, the way this book is understood, the way it is perceived affects what it is. There has been some talk that this book will make it’s readers believe in god. I think it’s a question of perspective. To behold this gem of a novel as an adventure of man against the elements (the “dry, yeastless factuality” of what actually happened) is certainly one way to go about it. But to understand this piece to be something indescribable, something godlike, is by far the greater leap of faith.Oh, but worth the leap, if the reader is like that atheist, willing to see the better story. ",
Mary,"It's not that it was bad, it's just that I wish the tiger had eaten him so the story wouldn't exist.I read half of it, and felt really impatient the whole time, skipping whole pages, and then I realized that I didn't have to keep going, which is as spiritual a moment as I could hope to get from this book. ",gave-up
Kirstine,"I was extremely surprised by this book. Let me tell you why (it's a funny story): On the Danish cover it says ""Pi's Liv"" (Pi's Life), but I hadn't noticed the apostrophe, so I thought it said ""Pis Liv"" (Piss Life) and I thought that was an interesting title at least, so perhaps I should give it a go. So I did. And... what I read was not at all what I had expected (I thought it was a book about a boy growing up amidst poverty and homelessness). It wasn't until I looked up the book in English I realized the title wasn't ""Piss Life"". I was deceived for longer than I like to admit and, well, not only about this. When I first read it I also thought it was based on a true story. I'm not sure why I thought this, I must have misread something (I vaguely recall thinking the prologue was instead an introduction). It was a sad (and ehm, slightly humiliating) day when I discovered the truth lay elsewhere. I guess your romantic beliefs must die someday, and that was the day for me.See, it's easier to believe in the world and be optimistic about it, when you also believe that world capable of containing a boy and a tiger co-existing on a lifeboat for 7 months and surviving. The truth is this book probably changed my life, not in any grand, extraordinary way. But with the small things, the small observations. Like how Pi was afraid to run out of paper, to document his days in the lifeboat, and instead he ran out of ink. Like how he chose to embrace three religions, not just one. This book, and Pi especially, represent and embody a way of life that I admire. It's not about believing in God, but about what it takes to believe in something, anything really. Yourself, the world, goodness, life, God. If it seemed real enough for me to believe it had happened, perhaps the real world is indeed a place where it could happen. And that's what I want to believe, even if real life might tell me otherwise.","fantasy,magical-realism,reviewed"
Federico DN," Rawr.  Piscine Molitor Patel is a young indian boy travelling with his family aboard a freighter through the Pacific seas, and carrying their precious zoo animals to America for relocation. One stormy night the ship suddenly sinks, and he ends up in a small lifeboat with several of their animals and, among them, a huge Bengal tiger. This is the tale of his extraordinary adventure, and how he managed to survive for months stranded in the middle of the seas with little to no resources, and accompanied by one of the deadliest predators in the world.This was one lovely and painful emotional ride. Loved the origins of Pi, the zoo teachings, and specially the multi-religious Hindu-Christian-Islam approach. The shipwreck was devastating, and so too a big chunk of the time adrift. Pi an incredible little Crusoe, and Richard Parker a terrifying but necessary companionship; a beautiful yet dangerous bonding, but vital, for both. I remember most of my journey with them filled with great apprehension and distress; sure there were beautiful moments and a love and respect for nature rarely seen in other works, yet most of the time lingered a persistent sadness of uncertainty, and much despair before a sometimes cruel sea that took what little they had and didn’t leave much room for hope. Nevertheless, this was an unforgettable journey so worthy that not once regretted taking.A fantastic story of survival, courage, spirituality, and love for life and nature. A sublime journey of impossible beauty  Meerkats Island , with loads moments  Hyena & Orange Juice, Parker bonding, flying fish  to remember by. And to top it off, a soul shattering ending likely to never forget  beach Farewell . Recommendable. Very.*** Life of Pi (2012) is a lovely artistic adaptation, extremely faithful to the book, and an excellent complement to the reading. The scenery beyond beautiful, the acting on point, and the special effects impeccable. The film gorgeously captures the best heartfelt parts of the book, and cuts most of the sadness away from it. As usual the book won, I enjoyed it more, but I think only because I read it first and then the surprise was lost. I LOVE the book for its detail and depth, but ultimately I LOVE the movie more for its beautiful uplifting delivery; and a big part of me wishes I’d watched it first. (8/10)-----------------------------------------------
PERSONAL NOTE
: [2001] [460p] [Fiction] [Highly Recommendable] [Bananas float!] ----------------------------------------------- Miaw.  Piscine Molitor Patel es un joven muchacho indio viajando con su familia a bordo de un barco carguero a través del océano Pacifico, y llevando sus preciados animales de zoológico para reubicarlos en América. Una noche tormentosa la nave repentinamente se hunde, y él termina en un pequeño bote salvavidas con varios de los animales, y entre ellos, un gigante tigre Bengala. Esta es la historia de su extraordinaria aventura, y cómo logró sobrevivir por meses varado en el medio del océano con poco y nada de recursos, y acompañado por uno de depredadores más letales de la tierra.Este fue un adorable y doloroso viaje emocional. Amé los orígenes de Pi, las enseñanzas del zoológico, y especialmente el enfoque multi-religioso Hindú-Cristiano-Islámico. El naufragio fue devastador, y también una gran parte del tiempo a la deriva. Pi un increíble pequeño Crusoe, y Richard Parker una terrorífica pero necesaria compañía; una hermosa pero peligrosa vinculación, pero vital, para ambos. Recuerdo la mayoría del mi viaje con ellos lleno de gran aprehensión y angustia; obvio que hubo hermosos momentos y un amor y respeto por la naturaleza pocas veces visto en otras obras, pero la mayor parte del tiempo permaneció conmigo una persistente tristeza incierta, y mucha desesperanza ante un a veces cruel océano que tomaba lo poco que tenían sin dejar mucho lugar a esperanza. Sin embargo, este fue un viaje inolvidable tan valioso que ni una vez me arrepentí de tomarlo.Una fantástica historia de supervivencia, coraje, espiritualidad y amor por la vida y naturaleza. Un sublime viaje de imposible belleza  la Isla de las Suricatas , con muchos momentos  Hiena & Naranja, amistad con Parker, peces voladores  para el recuerdo. Y para coronarlo todo, un final que parte el alma imposible de olvidar  la despedida en la playa . Recomendable. Mucho. *** Una aventura extraordinaria (2012) es una adorable y artística adaptación, extremadamente fiel al libro, y un excelente complemento para la lectura. La escenografía más allá de hermosa, la actuación acorde, y los efectos especiales impecables. El filme hermosamente captura las partes más sentidas del libro, y corta la mayoría de su tristeza. Como usualmente sucede el libro ganó, lo disfruté más, pero creo que sólo porque lo leí primero y luego la sorpresa se perdió. AMO el libro por el detalle y su profundidad, pero en última instancia AMO la película más por su hermoso y elevador mensaje a la hora de entregarlo; y gran parte de mí desearía haberla visto primero. (8/10) -----------------------------------------------
NOTA PERSONAL
: [2001] [460p] [Ficción] [Altamente Recomendable] -----------------------------------------------[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>","animals,favorites,fiction"
jessica,"
‘life is so beautiful that death has fallen in love with it - a jealous, possessive love that grabs at what it can.’
and sometimes stories are so beautiful that souls have fallen in a love with them - a tender, quiet love that nurtures what it can. this is one of those stories.its a story that will always have a special place in my heart. its one of the only books that has ever made me re-evaluate my beliefs on faith, it helped me further realise the impact and importance of the connection between humans and animals, and it planted a seed of hope that life can be beautiful, even in the most harrowing of circumstances. this is the kind of story that will always teach life lessons, no matter at which age you read it and regardless of the amount of re-reads. you will always walk away from this book having learnt something new about life, the world, and about yourself. it is truly one of the most beautiful stories i have ever had the privilege of reading. ↠ 5 stars",favourites
Lisa of Troy,"Richard Parker Is UnforgettableVery rarely does a character stay with you for life. But this story is one that I will carry with me.Life of Pi starts in India with a boy named Piscine Molitor Patel, also known by his nickname Pi. His family historically has operated a zoo but decides to relocate to Canada. Things don’t go quite as expected when the ship carrying them to Canada sinks. Pi spends 227 days searching for land with a tiger named Richard Parker.Parallels to Real LifeDid you know that Jose Salvador Alvarenga was adrift for 438 days at sea? He went fishing off the coast of Mexico on November 17, 2012. After drifting for more than a year, he spotted Marshall Islands and swam to shore.Deep Questions There were some really interesting questions that are raised in the Life of Pi:What gets you up in the morning? What wakes you up out of your bed and inspires you to put one foot in front of the other, to make this existence meaningful and worthwhile? What is your tiger?Why are the stories that we tell ourselves important?Book Versus MovieAs someone who has both read the book and viewed the movie, I would recommend reading the book before watching the movie. However, both are excellent, and I really enjoyed the vibrant, rich colors in the movie.Overall, an unforgettable book that will always make me think twice before boarding a boat. Now, I just need to find a cat to adopt and name him Richard Parker…….Connect With Me!Blog Twitter BookTube Facebook Insta",
Malbadeen,"Sift a pinch of psychology with a scant tablespoon of theology, add one part  Island of the Blue Dolphin  with two parts philosophy, mix with a pastry blender or the back of a fork until crumbly but not dry and there you have Pi and his lame-o, cheesed out, boat ride to enlightenment.Actually I liked the beginning of this book- loved Pi's decleration and re-naming of himself, his adding religions like daisy's to a chain, and was really diggin on the family as a whole and then....then, then, then the tarpaulin. I did learn some things though, I learned that:a). cookies work wonders in assuaging heated arguments.b). Tiger turds do NOT taste good, no mater how hungry you are and hold absolutely no nutritional value (actualy this might apply only to turds obtained from tigers that have been floating on rafts for several weeks/months? I think I'll apply it as a general rule).I wanted to like this book more - I loved the cover and then there's that little golden seal that keeps going psst, psst, you don't get it - it's waaaay deep, you missed the whole point. But I think no, I got the point, like a 2 by 4 to the forehead I got the dang point!What I lack in spelling, this author lacks in subtlty. I felt like the ending was a study guide/cliff notes pamphlet/wikepedia entry all in one. I love Pi in the first 3rd, I understand the merits of Pi in the raft (just not my thing), but pi in the last bit - ugh, ugh,ugh! I'm chocking on the authors shoving of moral down my throat - help! help! I can't breath.......2 stars for the beginning, negative 3 stars for the ending, add something (or subtract to make it equal a positive - ????) and there you have my 2 starred LIfe of Pi review.",
Miranda Reads," Big Bois. Everyone's heard of them. The Libraries are full of them. But are they worth it?Click the link for my video review of the big bois in my life.The Written Review:The beginning is rough.It's all like - Why do we keep going on and on about religion? Where's the boat? Where's the tiger? Stop and enjoy the roses.  The book will get to the tiger part when it wants to. Young Pi ( Piscine ""Pi"" Patel ) spends the first part of the book joining the Christian, Muslim and Hindu faiths. It's not a matter of he can't choose a religion - it's that he is able simultaneously believe in all of them. The philosophical musings and religious prose provide an extremely interesting insight on how these religions intersect:
If Christ spent an anguished night in prayer, if He burst out from the Cross, 'My God, my God, why have you forsaken me?' then surely we are also permitted doubt. But we must move on. To choose doubt as a philosophy of life is akin to choosing immobility as a means of transportation.
 And then...you get to the tiger part!Pi Patel's life quickly shifts from one of religious philosophy and animal care (at his family's zoo) to one of great uncertainty. His family is closing their Indian zoo and they need to travel by boat to a new county. Whatever animals they couldn't sell or trade are on the ship.Only, something goes wrong. Very. Wrong.The ship is capsizing and it looks like neither human nor animal will make it out alive. Soon, Pi finds himself on a lifeboat with a menagerie of animals and within an adventure he will surely never forget. 
Dare I say I miss him? I do. I miss him. I still see him in my dreams. They are nightmares mostly, but nightmares tinged with love. Such is the strangeness of the human heart.
Note: Was I the only one who was upset with the ending? I was so mad that we were given the two scenarios at the end of the story. It was like the rug was being pulled out from under me. According to Pi, either we are to believe the tiger adventure happened or it was the alternate version: cannibalism and watching his family die in the boat. I felt cheated and turned what was a huge triumphant moment into a truly giant downer. Four stars because I have a selective memory and overall enjoyed the book.YouTube | Blog | Instagram | Twitter | Facebook | Snapchat @miranda_reads[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>",audiobook
Jesse,"Life of Pi was a fairly engaging story in terms of plot and character, but what made it such a memorable book, for me at least, was its thematic concerns. Is it a ""story that will make you believe in God,"" as Pi claims? I'm not sure I'd go that far, but I would recommend it to people who enjoy thinking about the nature of reality and the role of faith in our lives. To me, the entire thrust of the book is the idea that reality is a story, and therefore we can choose our own story (as the author himself puts it). So if life is a story, we have two basic choices: we can limit ourselves only to what we can know for sure - that is, to ""dry, yeastless factuality"" - or we can choose ""the better story."" I suppose in Pi's world the ""better story"" includes God, but he doesn't say this is the only meaningful possibility. In fact, Pi calls atheists his ""brothers and sisters of a different faith,"" because, like Pi, atheists ""go as far as the legs of reason will carry them - and then they leap."" Pi's point, in my opinion, is that human experience always involves interpretation, that our knowledge is necessarily limited, that both religious belief and atheism require a leap of faith of one kind or another - after all, there's so little we can know for sure. For Pi, then, we shouldn't limit ourselves only to beliefs that can be proven empirically. Instead, we should make choices that bring meaning and richness to our lives; we should exercise faith and strive for ideals (whatever the object of our faith and whatever those ideals might be). Or, as Pi says in taking a shot at agnosticism: ""To choose doubt as a philosophy of life is akin to choosing immobility as a means of transportation."" In the end, however, I didn't necessarily read this book as an invitation to believe in God. Instead, I saw it as a mirror held up to the reader, a test to see what kind of worldview the reader holds. That is, as Pi himself says, since ""it makes no factual difference to you and you can't prove the question either way, which story do you prefer? Which is the better story, the story with the animals or the story without the animals?"" Or, as I took it: Is it my nature to reach for and believe the better but less likely story? Or do I tend to believe the more likely but less lovely story? What view of reality do I generally hold? Another equally important question is this: How did I come by my view of reality? Do I view the world primarily through the lens of reason? Or do I view it through the lens of emotion? For Pi, I think it's safe to say his belief comes by way of emotion. He has, as one reviewer noted, a certain skepticism about reason (in fact, Pi calls it ""fool's gold for the bright""). Pi also has what I would call a subtle but real basis for his belief in God, namely, ""an intellect confounded yet a trusting sense of presence and ultimate purpose."" But belief still isn't easy for him. Despite his trusting sense of purpose, Pi acknowledges that ""Love is hard to believe, ask any lover. Life is hard to believe, ask any scientist. God is hard to believe, ask any believer."" So it's not that a life of faith is easier, in Pi's opinion, it's that for him belief is ultimately more worthwhile. This is not to say, however, that Pi holds a thoroughly postmodern view of God or that he believes as a matter of art rather than in a sincere way. True, Pi suggests that whether you believe his story had a tiger in it is also a reflection of your ability to believe in something higher. And of course it's easy to read Pi's entire story as an attempt to put an acceptable gloss on a horrific experience. Still, there are a number of clues throughout the book that give the reader at least some reason to believe Pi's story did have a tiger in it (for instance, the floating banana and the meerkat bones).As such, Pi's two stories could be seen as an acknowledgement that both atheism and belief in God require some faith, and therefore it's up to each of us to choose the way of life that makes us the happiest. He's not necessarily saying that the truth is what you make it, he's saying we don't have unadulterated access to the truth: our imagination, personalities, and experiences unavoidably influence the way we interact with the world. But that's not the same as saying whatever we imagine is true. I think Pi, for instance, knows which of his stories is true. It's not Pi but the reader who is left with uncertainty and who therefore has to throw her hands up and say ""I don't know,"" or else choose one story or the other. And to me, this isn't too far off from the predicament we all find ourselves in. And that's what makes Life of Pi such a challenge to the reader: Pi's first story is fantastic, wonderful, but hard to believe. Yet there's some evidence that it happened just the way he said it did. And Pi's second story is brutal, terrible, but much easier to accept as true. Yet it's not entirely plausible either, and it leaves no room for the meerkat bones or Pi's ""trusting sense of presence and ultimate purpose."" If the reader personally dismisses the tiger story out of hand, I suppose that's another way of saying the reader, by nature, tends to believe the more likely but less lovely story. In the same way, if the reader gets to the story's payoff and still believes there was a tiger in the boat, the reader is probably inclined to believe the more emotionally satisfying story. But it should be born in mind that Pi doesn't definitively state which story was true, something which only he can know for sure. All we can really be sure of, in Pi's universe, is that he was stuck on a lifeboat for a while before making it to shore. So which story do I believe? I struggled with that question for a long time. But after thinking about it for a couple of days, I'll end this review with the final lines from the book: ""Very few castaways can claim to have survived so long at sea as Mr. Patel, and none in the company of an adult Bengal Tiger."" ",
